Tm,G,PA,AB,R,H,2B,3B,HR,RBI
ARI,162,6315,5633,813,1419,288,40,220,778
ATL,162,6302,5560,855,1432,277,29,249,824
BAL,162,6130,5596,729,1379,252,25,213,698
BOS,162,6475,5770,901,1554,345,27,245,857
CHC,162,6195,5461,814,1378,270,26,256,783
CHW,161,6042,5529,708,1443,260,20,182,676
CIN,162,6100,5450,701,1328,235,27,227,679
CLE,162,6124,5425,769,1354,286,18,223,731
COL,162,6288,5660,835,1502,323,41,224,803
DET,161,6039,5549,582,1333,292,41,149,556
HOU,162,6394,5613,920,1538,323,28,288,891
KCR,162,6080,5496,691,1356,281,40,162,655
LAA,162,6251,5542,769,1368,268,21,220,734
LAD,162,6282,5493,886,1414,302,20,279,861
MIA,162,6045,5512,615,1326,265,18,146,593
MIL,162,6309,5542,769,1366,279,17,250,744
MIN,162,6392,5732,939,1547,318,23,307,906
NYM,162,6296,5624,791,1445,280,17,242,767
NYY,162,6245,5583,943,1493,290,17,306,904
OAK,162,6270,5561,845,1384,292,23,257,800
PHI,162,6261,5571,774,1369,311,26,215,742
PIT,162,6228,5657,758,1497,315,38,163,722
SDP,162,6019,5391,682,1281,224,24,219,652
SEA,162,6248,5500,758,1305,254,28,239,730
SFG,162,6170,5579,678,1332,300,26,167,655
STL,162,6167,5449,764,1336,246,24,210,714
TBR,162,6285,5628,769,1427,291,29,217,730
TEX,162,6204,5540,810,1374,296,24,223,765
TOR,162,6095,5493,726,1299,270,21,247,697
WSN,162,6267,5512,873,1460,298,27,231,824
