No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
17,Tyson Bagent,23,QB,5,4,213,3-Jun,Shepherd,6/8/00,Rook,3,,BageTy00
97,Andrew Billings,28,DL,17,17,311,1-Jun,Baylor,3/6/95,6,7,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
39,Josh Blackwell,24,DB,10,0,180,11-May,Duke,4/5/99,1,1,,BlacJo00
35,Khari Blasingame,27,FB,16,2,233,Jun-00,Vanderbilt,7/1/96,4,0,,BlasKh00
75,Larry Borom,24,OL,16,6,333,5-Jun,Missouri,3/30/99,2,4,Chicago Bears / 5th / 151st pick / 2021,BoroLa00
9,Jaquan Brisker,24,DB,15,15,200,1-Jun,LackawannaPenn St.,4/20/99,1,5,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01
69,Ja'Tyre Carter,24,OL,10,2,311,3-Jun,Southern,1/15/99,1,2,Chicago Bears / 7th / 226th pick / 2022,CartJa04
55,Dylan Cole,29,LB,16,0,240,Jun-00,Missouri State,5/19/94,6,1,,ColeDy00
64,Nate Davis,27,OL,11,11,316,3-Jun,Charlotte,9/23/96,4,5,Tennessee Titans / 3rd / 82nd pick / 2019,DaviNa01
99,Gervon Dexter,22,DL,17,1,312,,Florida,10/5/01,Rook,2,Chicago Bears / 2nd / 53rd pick / 2023,DextGe00
49,Tremaine Edmunds,25,LB,15,15,250,5-Jun,Virginia Tech,5/2/98,5,8,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01
53,T.J. Edwards,27,LB,17,17,242,1-Jun,Wisconsin,8/12/96,4,9,,EdwaTJ02
67,Dan Feeney,29,OL,16,1,310,4-Jun,Indiana,5/29/94,6,2,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
1,Justin Fields,24,QB,13,13,228,3-Jun,GeorgiaOhio St.,3/5/99,2,13,Chicago Bears / 1st / 11th pick / 2021,FielJu00
21,D'Onta Foreman,27,RB,9,8,235,Jun-00,Texas,4/24/96,6,3,Houston Texans / 3rd / 89th pick / 2017,ForeDO00
16,Trenton Gill,24,P,17,0,219,4-Jun,North Carolina St.,1/1/99,1,2,Chicago Bears / 7th / 255th pick / 2022,GillTr01
6,Kyler Gordon,24,DB,13,7,200,Jun-00,Washington,12/17/99,1,3,Chicago Bears / 2nd / 39th pick / 2022,GordKy00
94,Rasheem Green,26,DL,17,0,279,4-Jun,USC,5/15/97,5,1,Seattle Seahawks / 3rd / 79th pick / 2018,GreeRa01
24,Khalil Herbert,25,RB,12,9,212,9-May,KansasVirginia Tech,4/21/98,2,5,Chicago Bears / 6th / 217th pick / 2021,HerbKh00
22,Elijah Hicks,24,DB,17,6,200,11-May,California,10/16/99,1,2,Chicago Bears / 7th / 254th pick / 2022,HickEl00
20,Travis Homer,25,RB,16,0,202,10-May,Miami (FL),8/7/98,4,0,Seattle Seahawks / 6th / 204th pick / 2019,HomeTr00
4,Eddie Jackson,30,DB,12,12,206,Jun-00,Alabama,12/10/93,6,4,Chicago Bears / 4th / 112th pick / 2017,JackEd01
76,Teven Jenkins,25,OL,12,11,321,6-Jun,Oklahoma St.,3/3/98,2,5,Chicago Bears / 2nd / 39th pick / 2021,JenkTe00
80,Collin Johnson,26,WR,3,0,222,6-Jun,Texas,9/23/97,3,0,Jacksonville Jaguars / 5th / 165th pick / 2020,JohnCo01
33,Jaylon Johnson,24,DB,14,14,196,Jun-00,Utah,4/19/99,3,9,Chicago Bears / 2nd / 50th pick / 2020,JohnJa13
26,Quindell Johnson,24,DB,9,0,208,,Memphis,11/5/99,Rook,1,,JohnQu01
23,Roschon Johnson,22,RB,15,0,225,,Texas,1/31/01,Rook,4,Chicago Bears / 4th / 115th pick / 2023,JohnRo07
70,Braxton Jones,24,OL,11,11,310,5-Jun,Southern Utah,3/27/99,1,5,Chicago Bears / 5th / 168th pick / 2022,JoneBr08
31,Jaylon Jones,26,DB,17,0,190,11-May,Mississippi,10/14/97,1,1,,JoneJa12
93,Justin Jones,27,DL,17,17,309,3-Jun,North Carolina St.,8/28/96,5,8,Los Angeles Chargers / 3rd / 84th pick / 2018,JoneJu03
12,Velus Jones Jr.,26,WR,14,0,200,Jun-00,USCTennessee,5/11/97,1,1,Chicago Bears / 3rd / 71st pick / 2022,JoneVe00
85,Cole Kmet,24,TE,17,17,260,6-Jun,Notre Dame,3/10/99,3,7,Chicago Bears / 2nd / 43rd pick / 2020,KmetCo00
84,Marcedes Lewis,39,TE,17,4,265,6-Jun,UCLA,5/19/84,17,0,Jacksonville Jaguars / 1st / 28th pick / 2006,LewiMa00
11,Darnell Mooney,26,WR,15,14,173,11-May,Tulane,10/29/97,3,4,Chicago Bears / 5th / 173rd pick / 2020,MoonDa00
2,D.J. Moore,26,WR,17,17,210,11-May,Maryland,4/14/97,5,13,Carolina Panthers / 1st / 24th pick / 2018,MoorD.00
14,Nathan Peterman,29,QB,2,0,225,2-Jun,TennesseePittsburgh,5/4/94,6,0,Buffalo Bills / 5th / 171st pick / 2017,PeteNa00
96,Zacch Pickens,23,DL,17,0,300,,South Carolina,3/6/00,Rook,1,Chicago Bears / 3rd / 64th pick / 2023,PickZa00
90,Dominique Robinson,25,DL,11,0,253,5-Jun,Miami (OH),7/2/98,1,1,Chicago Bears / 5th / 174th pick / 2022,RobiDo00
57,Jack Sanborn,23,LB,17,10,234,,Wisconsin,7/29/00,1,5,,SanbJa00
8,Cairo Santos,32,K,17,0,175,8-May,Tulane,11/12/91,9,4,,SantCa01
48,Patrick Scales,35,LS,17,0,226,3-Jun,Utah St.,2/11/88,9,1,,ScalPa00
13,Tyler Scott,22,WR,17,4,185,,Cincinnati,10/12/01,Rook,2,Chicago Bears / 4th / 133rd pick / 2023,ScotTy00
44,Noah Sewell,22,LB,13,0,253,2-Jun,Oregon,4/26/01,Rook,1,Chicago Bears / 5th / 148th pick / 2023,SeweNo00
32,Terell Smith,24,DB,12,4,207,Jun-00,Minnesota,7/27/99,Rook,2,Chicago Bears / 5th / 165th pick / 2023,SmitTe05
19,Equanimeous St. Brown,27,WR,7,2,214,5-Jun,Notre Dame,9/30/96,5,1,Green Bay Packers / 6th / 207th pick / 2018,St.BEq00
29,Tyrique Stevenson,23,DB,16,16,204,,GeorgiaMiami (FL),5/26/00,Rook,6,Chicago Bears / 2nd / 56th pick / 2023,StevTy01
27,Greg Stroman,27,DB,7,1,180,11-May,Virginia Tech,3/8/96,5,1,Washington Redskins / 7th / 241st pick / 2018,StroGr00
98,Montez Sweat,27,DL,9,9,262,6-Jun,Michigan St.Copiah-Lincoln CCMississippi St.,9/4/96,4,7,Washington Redskins / 1st / 26th pick / 2019,SweaMo00
15,Trent Taylor,29,WR,17,0,178,8-May,Louisiana Tech,4/30/94,6,0,San Francisco 49ers / 5th / 177th pick / 2017,TaylTr02
18,Robert Tonyan,29,TE,17,6,240,5-Jun,Indiana St.,4/30/94,5,1,,TonyRo00
95,DeMarcus Walker,29,DL,17,12,280,4-Jun,Florida St.,9/30/94,6,6,Denver Broncos / 2nd / 51st pick / 2017,WalkDe03
65,Cody Whitehair,31,OL,17,11,316,3-Jun,Kansas St.,7/11/92,7,6,Chicago Bears / 2nd / 56th pick / 2016,WhitCo03
58,Darnell Wright,22,OL,17,17,335,,Tennessee,8/10/01,Rook,8,Chicago Bears / 1st / 10th pick / 2023,WrigDa00
47,Micah Baskerville (NWT),24,LB,2,0,224,Jun-00,LSU,10/19/99,Rook,0,,BaskMi00
88,Stephen Carlson (NWT),27,TE,1,0,240,4-Jun,Princeton,12/12/96,4,0,,CarlSt00
63,Jerome Carvin (NWT),23,G,0,0,321,,Tennessee,9/20/00,Rook,,,CarvJe00
23,Adrian Colbert (NWT),30,DB,0,0,205,2-Jun,Miami (FL),10/6/93,6,,San Francisco 49ers / 7th / 229th pick / 2017,ColbAd00
,Douglas Coleman (NWT),25,DB,0,0,200,1-Jun,Texas Tech,6/28/98,Rook,,,ColeDo00
74,Aviante Collins (NWT),30,OL,1,0,292,4-Jun,TCU,4/21/93,6,0,,CollAv00
72,Michael Dwumfour (NWT),25,DL,0,0,296,1-Jun,MichiganRutgers,1/1/98,2,,,DwumMi00
