Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,43,Lance McCullers Jr.\redirect.fcgi?player=1&mlb_ID=621121,us US,Pitcher,*,,25,L,R,"6' 1""",205,Oct 2 1993,2012
2,35,Justin Verlander\redirect.fcgi?player=1&mlb_ID=434378,us US,Pitcher,*,,36,R,R,"6' 5""",225,Feb 20 1983,2005
3,59,Framber Valdez\redirect.fcgi?player=1&mlb_ID=664285,do DO,Pitcher,*,,25,L,L,"5' 11""",170,Nov 19 1993,2015
4,65,Jose Urquidy\redirect.fcgi?player=1&mlb_ID=664353,mx MX,Pitcher,*,,24,R,R,"6' 0""",180,May 1 1995,2015
5,62,Blake Taylor\redirect.fcgi?player=1&mlb_ID=642130,us US,Pitcher,*,,23,L,L,"6' 2""",220,Aug 17 1995,2013
6,67,Cy Sneed\redirect.fcgi?player=1&mlb_ID=605482,us US,Pitcher,*,,26,R,R,"6' 4""",215,Oct 1 1992,2013
7,38,Joe Smith\redirect.fcgi?player=1&mlb_ID=501925,us US,Pitcher,*,,35,R,R,"6' 2""",205,Mar 22 1984,2006
8,92,Nivaldo Rodriguez\redirect.fcgi?player=1&mlb_ID=670550,ve VE,Pitcher,*,,22,R,R,"6' 1""",170,Apr 16 1997,2016
9,51,Austin Pruitt\redirect.fcgi?player=1&mlb_ID=643493,us US,Pitcher,*,,29,R,R,"5' 10""",185,Aug 31 1989,2013
10,55,Ryan Pressly\redirect.fcgi?player=1&mlb_ID=519151,us US,Pitcher,*,,30,R,R,"6' 3""",210,Dec 15 1988,2008
11,52,Cionel Perez\redirect.fcgi?player=1&mlb_ID=672335,cu CU,Pitcher,*,,23,L,L,"5' 11""",170,Apr 21 1996,2013
12,41,Brad Peacock\redirect.fcgi?player=1&mlb_ID=502748,us US,Pitcher,*,,31,R,R,"6' 1""",210,Feb 2 1988,2007
13,91,Enoli Paredes\redirect.fcgi?player=1&mlb_ID=660600,do DO,Pitcher,*,,23,R,R,"5' 11""",168,Sep 28 1995,2016
14,54,Roberto Osuna\redirect.fcgi?player=1&mlb_ID=532077,mx MX,Pitcher,*,,24,R,R,"6' 2""",215,Feb 7 1995,2011
15,66,Bryan Abreu\redirect.fcgi?player=1&mlb_ID=650556,do DO,Pitcher,*,,22,R,R,"6' 1""",204,Apr 22 1997,2014
16,61,Rogelio Armenteros\redirect.fcgi?player=1&mlb_ID=660494,cu CU,Pitcher,*,,25,R,R,"6' 1""",215,Jun 30 1994,2011
