No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
92,Tyson Alualu,36,DL,2,1,304,3-Jun,California,5/12/87,13,0,Jacksonville Jaguars / 1st / 10th pick / 2010,AluaTy99
34,Alex Anzalone,29,LB,16,16,238,3-Jun,Florida,9/22/94,6,6,New Orleans Saints / 3rd / 76th pick / 2017,AnzaAl00
74,Kayode Awosika,25,G,15,3,315,3-Jun,Buffalo,10/27/98,2,2,,AwosKa00
17,Michael Badgley,28,K,4,0,188,10-May,Miami (FL),7/28/95,5,1,,BadgMi00
55,Derrick Barnes,24,LB,16,13,240,Jun-00,Purdue,5/29/99,2,5,Detroit Lions / 4th / 113th pick / 2021,BarnDe02
32,Brian Branch,22,DB,15,9,203,,Alabama,10/22/01,Rook,4,Detroit Lions / 2nd / 45th pick / 2023,BranBr00
46,Jack Campbell,23,LB,17,12,243,,Iowa,8/22/00,Rook,5,Detroit Lions / 1st / 18th pick / 2023,CampJa04
79,John Cominsky,28,DL,16,11,285,5-Jun,Charleston (WV),11/22/95,4,4,Atlanta Falcons / 4th / 135th pick / 2019,ComiJo00
68,Taylor Decker,30,T,15,15,318,7-Jun,Ohio St.,8/23/93,7,8,Detroit Lions / 1st / 16th pick / 2016,DeckTa00
30,Khalil Dorsey,25,CB,13,2,185,8-May,Northern Arizona,3/31/98,3,1,,DorsKh00
86,Anthony Firkser,28,TE,2,0,246,2-Jun,Harvard,2/19/95,5,0,,FirkAn00
3,Jack Fox,27,P,17,0,218,2-Jun,Rice,9/1/96,3,1,,FoxxJa01
2,C.J. Gardner-Johnson,26,DB,3,2,208,11-May,Florida,12/20/97,4,1,New Orleans Saints / 4th / 105th pick / 2019,GardCh00
26,Jahmyr Gibbs,21,RB,15,3,200,,Georgia TechAlabama,3/20/02,Rook,10,Detroit Lions / 1st / 12th pick / 2023,GibbJa01
24,Steven Gilmore,24,CB,3,0,174,,Marshall,9/17/99,Rook,0,,GilmSt01
60,Graham Glasgow,31,OL,17,15,315,6-Jun,Michigan,7/19/92,7,7,Detroit Lions / 3rd / 95th pick / 2016,GlasGr00
16,Jared Goff,29,QB,17,17,217,4-Jun,California,10/14/94,7,16,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00
80,Antoine Green,24,WR,9,0,199,2-Jun,North Carolina,11/15/99,Rook,0,Detroit Lions / 7th / 219th pick / 2023,GreeAn00
53,Charles Harris,28,DL,13,3,250,3-Jun,Missouri,3/6/95,6,2,Miami Dolphins / 1st / 22nd pick / 2017,HarrCh03
25,Will Harris,28,CB,17,2,206,1-Jun,Boston Col.,12/19/95,4,2,Detroit Lions / 3rd / 81st pick / 2019,HarrWi02
12,Hendon Hooker,25,QB,0,0,220,3-Jun,Virginia TechTennessee,1/13/98,Rook,,Detroit Lions / 3rd / 68th pick / 2023,HookHe00
41,James Houston,25,LB,2,1,245,1-Jun,FloridaJackson St.,11/16/98,1,0,Detroit Lions / 6th / 217th pick / 2022,HousJa01
97,Aidan Hutchinson,23,DL,17,17,268,7-Jun,Michigan,8/9/00,1,10,Detroit Lions / 1st / 2nd pick / 2022,HutcAi00
73,Jonah Jackson,26,G,12,12,311,4-Jun,RutgersOhio St.,2/5/97,3,5,Detroit Lions / 3rd / 75th pick / 2020,JackJo03
94,Benito Jones,26,DL,17,15,335,1-Jun,Mississippi,11/27/97,3,6,,JoneBe03
31,Kerby Joseph,23,S,15,15,203,1-Jun,Illinois,11/14/00,1,5,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03
87,Sam LaPorta,22,TE,17,14,245,3-Jun,Iowa,1/12/01,Rook,9,Detroit Lions / 2nd / 34th pick / 2023,LaPoSa01
27,Chase Lucas,26,CB,12,0,184,11-May,Arizona St.,3/4/97,1,1,Detroit Lions / 7th / 237th pick / 2022,LucaCh01
98,Brodric Martin,24,DL,3,0,330,,North AlabamaWestern Kentucky,5/24/99,Rook,0,Detroit Lions / 3rd / 96th pick / 2023,MartBr00
54,Alim McNeill,23,DL,13,13,315,2-Jun,North Carolina St.,5/11/00,2,5,Detroit Lions / 3rd / 72nd pick / 2021,McNeAl00
43,Jake McQuaide,36,LS,9,0,247,2-Jun,Ohio St.,12/7/87,12,0,,McQuJa00
6,Ifeatu Melifonwu,24,S,17,6,210,3-Jun,Syracuse,5/2/99,2,3,Detroit Lions / 3rd / 101st pick / 2021,MeliIf00
5,David Montgomery,26,RB,14,14,224,11-May,Iowa St.,6/7/97,4,9,Chicago Bears / 3rd / 73rd pick / 2019,MontDa01
95,Romeo Okwara,28,DL,16,0,255,4-Jun,Notre Dame,6/17/95,7,1,,OkwaRo01
91,Levi Onwuzurike,25,DL,10,0,290,3-Jun,Washington,3/2/98,2,1,Detroit Lions / 2nd / 41st pick / 2021,OnwuLe00
93,Josh Paschal,24,DL,12,4,274,3-Jun,Kentucky,12/17/99,1,2,Detroit Lions / 2nd / 46th pick / 2022,PascJo00
19,Donovan Peoples-Jones,24,WR,8,1,204,2-Jun,Michigan,2/19/99,3,1,Cleveland Browns / 6th / 187th pick / 2020,PeopDo00
57,Anthony Pittman,27,LB,17,0,242,3-Jun,Wayne State (MI),11/24/96,4,1,,PittAn01
77,Frank Ragnow,27,C,15,15,310,5-Jun,Arkansas,5/17/96,5,11,Detroit Lions / 1st / 20th pick / 2018,RagnFr00
11,Kalif Raymond,29,WR,17,3,180,8-May,Holy Cross,8/8/94,7,5,,RaymKa00
42,Jalen Reeves-Maybin,28,LB,17,0,226,1-Jun,Tennessee,1/31/95,6,6,Detroit Lions / 4th / 124th pick / 2017,ReevJa00
