Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year
ARI,2091685,25823,29.7,28.8,105,105,59984226,2006
ATL,2550524,31488,27.5,29.4,100,99,90156876,2006
BAL,2153139,26582,30.4,27.9,99,99,72585582,2006
BOS,2930588,36180,30.5,31.1,105,104,120099824,2006
CHC,3123215,38558,28.6,28,103,103,94424499,2006
CHW,2957414,36511,29.8,27.9,104,104,102750667,2006
CIN,2134607,26353,29.6,29.5,104,104,60909519,2006
CLE,1997995,24667,27.7,28.6,99,98,56031500,2006
COL,2104362,25980,27.8,28.8,109,109,41233000,2006
DET,2595937,32049,29.3,28.8,100,99,82612866,2006
FLA,1164134,14372,25.5,25.9,95,96,14671500,2006
HOU,3022763,37318,30.5,29.8,100,99,100894435,2006
KCR,1372638,16946,29.7,27.7,101,103,47694000,2006
ANA,3406790,42059,28.8,27.9,100,99,103472000,2006
LAD,3758545,46402,29.9,30.4,101,100,98447187,2006
MIL,2335643,28835,28.8,28.3,101,101,57970333,2006
MIN,2285018,28210,28.3,26.9,98,98,63396006,2006
NYM,3379535,41723,30.2,32.2,98,97,101584963,2006
NYY,4248067,52445,30.9,32.5,101,99,194663079,2006
OAK,1976625,24403,29.7,27,97,97,64843079,2006
PHI,2701815,33356,29.3,30.5,105,104,88273333,2006
PIT,1861549,22982,27.8,27,98,99,46717750,2006
SDP,2659757,32837,30.7,30.6,91,90,69896141,2006
SEA,2481165,30632,28.7,28,97,97,87959833,2006
SFG,3130313,38646,33.7,28.7,100,100,90056419,2006
STL,3407104,42589,29.6,28.6,99,99,88891371,2006
TBD,1368950,16901,27.3,27,99,100,34917967,2006
TEX,2388757,29491,28.4,28.3,101,101,68228662,2006
TOR,2302212,28422,28.6,28.1,100,100,71365000,2006
WSN,2153056,26581,28.5,28.9,94,95,63143000,2006
ARI,2325249,28707,26.6,28.2,107,107,52067546,2007
ATL,2745207,33891,27.7,29.4,98,98,87290833,2007
BAL,2164822,26726,30.4,29,101,102,93174808,2007
BOS,2970755,36676,30.1,31.1,106,105,143026214,2007
CHC,3252462,40154,29.3,28.4,105,104,101670332,2007
CHW,2684395,33141,29.8,27.7,104,104,108671833,2007
CIN,2058593,25415,29.7,29.1,104,104,68524980,2007
CLE,2275912,28449,28,29.4,101,100,61673267,2007
COL,2376250,28979,27.9,28.1,107,108,54041000,2007
DET,3047133,37619,30.9,28.5,102,101,95180369,2007
FLA,1370511,16920,26.7,26.2,97,98,30507000,2007
HOU,3020405,37289,31.4,30.2,100,100,87759000,2007
KCR,1616867,19961,28,27.1,100,101,67691500,2007
ANA,3365632,41551,28.6,28.4,101,100,109251333,2007
LAD,3857036,47618,29.7,31.1,101,100,108454524,2007
MIL,2869144,35422,27.7,29.1,100,100,70986500,2007
MIN,2296383,28350,28.4,27.4,95,95,71439500,2007
NYM,3853955,47580,30.7,31.3,98,97,116181663,2007
NYY,4271083,52729,30.7,31.4,101,100,207039045,2007
OAK,1921844,23726,28.9,26.9,94,94,79366940,2007
PHI,3108325,38374,28.8,30.6,104,103,89428213,2007
PIT,1749142,21594,27.2,27.1,97,98,38537833,2007
SDP,2790074,34445,29.9,31.5,90,90,58110567,2007
SEA,2672223,32588,29.9,28.1,96,97,106460833,2007
SFG,3223215,39793,32.7,27.3,101,101,90219056,2007
STL,3552180,43854,30.2,29.6,99,99,90286823,2007
TBD,1387603,17131,25.9,27,98,100,24623500,2007
TEX,2353862,29060,29.4,27.7,101,101,68643675,2007
TOR,2360644,29144,30.5,27.3,100,99,81942800,2007
