Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Tyson Bagent,17.0,23.0,QB,5,4,213,3-Jun,Shepherd,6/8/00,Rook,3.0,NAN,BageTy00
Andrew Billings,97.0,28.0,DL,17,17,311,1-Jun,Baylor,3/6/95,6,7.0,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
Josh Blackwell,39.0,24.0,DB,10,0,180,11-May,Duke,4/5/99,1,1.0,NAN,BlacJo00
Khari Blasingame,35.0,27.0,FB,16,2,233,Jun-00,Vanderbilt,7/1/96,4,0.0,NAN,BlasKh00
Larry Borom,75.0,24.0,OL,16,6,333,5-Jun,Missouri,3/30/99,2,4.0,Chicago Bears / 5th / 151st pick / 2021,BoroLa00
Jaquan Brisker,9.0,24.0,DB,15,15,200,1-Jun,LackawannaPenn St.,4/20/99,1,5.0,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01
Ja'Tyre Carter,69.0,24.0,OL,10,2,311,3-Jun,Southern,1/15/99,1,2.0,Chicago Bears / 7th / 226th pick / 2022,CartJa04
Dylan Cole,55.0,29.0,LB,16,0,240,Jun-00,Missouri State,5/19/94,6,1.0,NAN,ColeDy00
Nate Davis,64.0,27.0,OL,11,11,316,3-Jun,Charlotte,9/23/96,4,5.0,Tennessee Titans / 3rd / 82nd pick / 2019,DaviNa01
Gervon Dexter,99.0,22.0,DL,17,1,312,NAN,Florida,10/5/01,Rook,2.0,Chicago Bears / 2nd / 53rd pick / 2023,DextGe00
Tremaine Edmunds,49.0,25.0,LB,15,15,250,5-Jun,Virginia Tech,5/2/98,5,8.0,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01
T.J. Edwards,53.0,27.0,LB,17,17,242,1-Jun,Wisconsin,8/12/96,4,9.0,NAN,EdwaTJ02
Dan Feeney,67.0,29.0,OL,16,1,310,4-Jun,Indiana,5/29/94,6,2.0,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
Justin Fields,1.0,24.0,QB,13,13,228,3-Jun,GeorgiaOhio St.,3/5/99,2,13.0,Chicago Bears / 1st / 11th pick / 2021,FielJu00
