No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
23,Jaire Alexander,26,CB,7,7,196,10-May,Louisville,2/9/97,5,2,Green Bay Packers / 1st / 18th pick / 2018,AlexJa00
39,Zayne Anderson,26,S,10,0,206,2-Jun,BYU,1/3/97,2,0,,AndeZa02
35,Corey Ballentine,27,CB,14,6,196,11-May,Washburn,4/13/96,4,2,New York Giants / 6th / 180th pick / 2019,BallCo00
94,Karl Brooks,23,DL,17,0,296,3-Jun,Bowling Green,5/8/00,Rook,2,Green Bay Packers / 6th / 179th pick / 2023,BrooKa00
59,De'Vondre Campbell,30,LB,11,11,232,3-Jun,Minnesota,7/1/93,7,5,Atlanta Falcons / 4th / 115th pick / 2016,CampDe00
17,Anders Carlson,25,K,17,0,219,5-Jun,Auburn,6/16/98,Rook,1,Green Bay Packers / 6th / 207th pick / 2023,CarlAn00
97,Kenny Clark,28,DL,17,17,314,3-Jun,UCLA,10/4/95,7,10,Green Bay Packers / 1st / 27th pick / 2016,ClarKe01
8,Sean Clifford,25,QB,2,0,218,,Penn St.,7/14/98,Rook,0,Green Bay Packers / 5th / 149th pick / 2023,ClifSe00
57,Brenton Cox,23,LB,4,0,250,4-Jun,GeorgiaFlorida,1/30/00,Rook,0,,CoxxBr02
81,Josiah Deguara,26,TE,15,4,238,2-Jun,Cincinnati,2/14/97,3,1,Green Bay Packers / 3rd / 94th pick / 2020,DeguJo00
28,AJ Dillon,25,RB,15,6,247,Jun-00,Boston Col.,5/2/98,3,6,Green Bay Packers / 2nd / 62nd pick / 2020,DillAJ00
87,Romeo Doubs,23,WR,17,16,204,2-Jun,Nevada,4/13/00,1,7,Green Bay Packers / 4th / 132nd pick / 2022,DoubRo00
55,Kingsley Enagbare,23,LB,17,4,258,4-Jun,South Carolina,1/18/00,1,3,Green Bay Packers / 5th / 179th pick / 2022,EnagKi00
52,Rashan Gary,26,LB,17,13,277,5-Jun,Michigan,12/3/97,4,6,Green Bay Packers / 1st / 12th pick / 2019,GaryRa00
18,Malik Heath,23,WR,13,1,213,2-Jun,Copiah-Lincoln CCMississippi St.Mississippi,3/3/00,Rook,1,,HeatMa00
