No.,Player,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Salary,Draft
34,Jake Allen\allenja01,ca,G,29,2-Jun,203,-/L,6,August 7 1990,9-6-3 2.29 GAA,"$5,200,000 ",2008 STL 2nd (34)
49,Ivan Barbashev\barbaiv01,ru,F,24,Jun-00,187,L/-,3,December 14 1995,9 G 15 A 24 P,"$1,400,000 ",2014 STL 2nd (33)
50,Jordan Binnington\binnijo01,ca,G,26,1-Jun,174,-/L,2,July 11 1993,26-11-7 2.60 GAA,"$4,550,000 ",2011 STL 3rd (88)
9,Sammy Blais\blaissa01,ca,F,23,2-Jun,205,L/-,2,June 17 1996,6 G 5 A 11 P,N/A,2014 STL 6th (176)
41,Robert Bortuzzo\borturo01,ca,D,30,4-Jun,216,R/-,8,March 18 1989,1 G 4 A 5 P,"$1,375,000 ",2007 PIT 3rd (78)
21,Tyler Bozak\bozakty01,ca,F,33,1-Jun,199,R/-,10,March 19 1986,12 G 15 A 27 P,"$5,250,000 ",
61,Jacob de la Rose\delarja01,se,F,24,3-Jun,215,L/-,5,May 20 1995,1 G 4 A 5 P,"$950,000 ",2013 MTL 2nd (34)
29,Vince Dunn\dunnvi02,ca,D,23,Jun-00,203,L/-,2,October 29 1996,7 G 12 A 19 P,"$775,000 ",2015 STL 2nd (56)
72,Justin Faulk\faulkju01,us,D,27,Jun-00,217,R/-,8,March 20 1992,4 G 10 A 14 P,"$5,151,725 ",2010 CAR 2nd (37)
4,Carl Gunnarsson\gunnaca01,se,D,33,2-Jun,198,L/-,10,November 9 1986,2 G 5 A 7 P,"$1,750,000 ",2007 TOR 7th (194)
33,Jordan Kyrou\kyroujo01,ca,F,21,Jun-00,175,R/-,1,May 8 1998,3 G 4 A 7 P,"$700,000 ",2016 STL 2nd (35)
28,Mackenzie MacEachern\maceama01,us,F,25,2-Jun,190,L/-,1,March 9 1994,7 G 3 A 10 P,"$750,000 ",2012 STL 3rd (67)
90,Ryan O'Reilly\oreilry01,ca,F,28,1-Jun,216,L/-,10,February 7 1991,11 G 43 A 54 P,"$6,000,000 ",2009 COL 2nd (33)
55,Colton Parayko\parayco01,ca,D,26,6-Jun,230,R/-,4,May 12 1993,7 G 16 A 23 P,"$5,525,000 ",2012 STL 3rd (86)
57,David Perron\perroda01,ca,F,31,Jun-00,200,R/-,12,May 28 1988,24 G 33 A 57 P,"$4,750,000 ",2007 STL 1st (26)
27,Alex Pietrangelo (C)\pietral01,ca,D,30,3-Jun,210,R/-,11,January 18 1990,13 G 34 A 47 P,"$7,500,000 ",2008 STL 1st (4)
12,Zach Sanford\sanfoza01,us,F,25,4-Jun,207,L/-,2,November 9 1994,13 G 13 A 26 P,N/A,2013 WSH 2nd (61)
6,Marco Scandella\scandma01,ca,D,29,3-Jun,208,L/-,9,February 23 1990,0 G 0 A 0 P,"$2,375,000 ",2008 MIN 2nd (55)
10,Brayden Schenn\schenbr01,ca,F,28,1-Jun,200,L/-,10,August 22 1991,20 G 28 A 48 P,"$4,500,000 ",2009 LAK 1st (5)
17,Jaden Schwartz\schwaja01,ca,F,27,10-May,190,L/-,8,June 25 1992,20 G 28 A 48 P,"$5,750,000 ",2010 STL 1st (14)
20,Alexander Steen\steenal01,ca,F,35,Jun-00,211,L/-,14,March 1 1984,7 G 10 A 17 P,N/A,2002 TOR 1st (24)
70,Oskar Sundqvist\sundqos01,se,F,25,3-Jun,209,R/-,4,March 23 1994,11 G 10 A 21 P,"$2,250,000 ",2012 PIT 3rd (81)
18,Robert Thomas\thomaro01,ca,F,20,Jun-00,188,R/-,1,July 2 1999,9 G 27 A 36 P,"$925,000 ",2017 STL 1st (20
