No.,Player,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Salary,Draft
34,Jake Allen\allenja01,ca,G,29.549597177583024,2-Jun,203,-/L,6,1990-08-07,9-6-3 2.29 GAA,"$5,200,000 ",2008 STL 2nd (34)
49,Ivan Barbashev\barbaiv01,ru,F,24.19698897892049,Jun-00,187,L/-,3,1995-12-14,9 G 15 A 24 P,"$1,400,000 ",2014 STL 2nd (33)
50,Jordan Binnington\binnijo01,ca,G,26.622774587112307,1-Jun,174,-/L,2,1993-07-11,26-11-7 2.60 GAA,"$4,550,000 ",2011 STL 3rd (88)
9,Sammy Blais\blaissa01,ca,F,23.687738275620628,2-Jun,205,L/-,2,1996-06-17,6 G 5 A 11 P,,2014 STL 6th (176)
41,Robert Bortuzzo\borturo01,ca,D,30.937716030126197,4-Jun,216,R/-,8,1989-03-18,1 G 4 A 5 P,"$1,375,000 ",2007 PIT 3rd (78)
21,Tyler Bozak\bozakty01,ca,F,33.935724202778616,1-Jun,199,R/-,10,1986-03-19,12 G 15 A 27 P,"$5,250,000 ",
61,Jacob de la Rose\delarja01,se,F,24.7664736363741,3-Jun,215,L/-,5,1995-05-20,1 G 4 A 5 P,"$950,000 ",2013 MTL 2nd (34)
29,Vince Dunn\dunnvi02,ca,D,23.32085873668417,Jun-00,203,L/-,2,1996-10-29,7 G 12 A 19 P,"$775,000 ",2015 STL 2nd (56)
72,Justin Faulk\faulkju01,us,D,27.931494136452816,Jun-00,217,R/-,8,1992-03-20,4 G 10 A 14 P,"$5,151,725 ",2010 CAR 2nd (37)
4,Carl Gunnarsson\gunnaca01,se,D,33.292316056136315,2-Jun,198,L/-,10,1986-11-09,2 G 5 A 7 P,"$1,750,000 ",2007 TOR 7th (194)
33,Jordan Kyrou\kyroujo01,ca,F,21.79858244079856,Jun-00,175,R/-,1,1998-05-08,3 G 4 A 7 P,"$700,000 ",2016 STL 2nd (35)
28,Mackenzie MacEachern\maceama01,us,F,25.96293899842808,2-Jun,190,L/-,1,1994-03-09,7 G 3 A 10 P,"$750,000 ",2012 STL 3rd (67)
90,Ryan O'Reilly\oreilry01,ca,F,29.04582228829714,1-Jun,216,L/-,10,1991-02-07,11 G 43 A 54 P,"$6,000,000 ",2009 COL 2nd (33)
55,Colton Parayko\parayco01,ca,D,26.787049007531618,6-Jun,230,R/-,4,1993-05-12,7 G 16 A 23 P,"$5,525,000 ",2012 STL 3rd (86)
57,David Perron\perroda01,ca,F,31.742660690180816,Jun-00,200,R/-,12,1988-05-28,24 G 33 A 57 P,"$4,750,000 ",2007 STL 1st (26)
27,Alex Pietrangelo (C)\pietral01,ca,D,30.099916485987713,3-Jun,210,R/-,11,1990-01-18,13 G 34 A 47 P,"$7,500,000 ",2008 STL 1st (4)
12,Zach Sanford\sanfoza01,us,F,25.292151781715894,4-Jun,207,L/-,2,1994-11-09,13 G 13 A 26 P,,2013 WSH 2nd (61)
6,Marco Scandella\scandma01,ca,D,30.001351833736127,3-Jun,208,L/-,9,1990-02-23,0 G 0 A 0 P,"$2,375,000 ",2008 MIN 2nd (55)
10,Brayden Schenn\schenbr01,ca,F,28.509192514927392,1-Jun,200,L/-,10,1991-08-22,20 G 28 A 48 P,"$4,500,000 ",2009 LAK 1st (5)
17,Jaden Schwartz\schwaja01,ca,F,27.66591715677493,10-May,190,L/-,8,1992-06-25,20 G 28 A 48 P,"$5,750,000 ",2010 STL 1st (14)
20,Alexander Steen\steenal01,ca,F,35.98367864400602,Jun-00,211,L/-,14,1984-03-01,7 G 10 A 17 P,,2002 TOR 1st (24)
70,Oskar Sundqvist\sundqos01,se,F,25.924608300330238,3-Jun,209,R/-,4,1994-03-23,11 G 10 A 21 P,"$2,250,000 ",2012 PIT 3rd (81)
18,Robert Thomas\thomaro01,ca,F,20.648661497863387,Jun-00,188,R/-,1,1999-07-02,9 G 27 A 36 P,"$925,000 ",2017 STL 1st (20
