No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
3,Jordan Addison,21,WR,17,14,175,,PittsburghUSC,1/27/02,Rook,7,Minnesota Vikings / 1st / 23rd pick / 2023,AddiJo00
78,Hakeem Adeniji,26,OL,4,0,315,4-Jun,Kansas,12/8/97,3,0,Cincinnati Bengals / 6th / 180th pick / 2020,AdenHa00
33,Brian Asamoah,23,LB,13,0,226,Jun-00,Oklahoma,3/29/00,1,1,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00
54,Anthony Barr,31,LB,4,0,257,5-Jun,UCLA,3/18/92,9,1,Minnesota Vikings / 1st / 9th pick / 2014,BarrAn00
11,Mekhi Blackmon,24,CB,15,3,178,11-May,San MateoColoradoUSC,3/18/99,Rook,2,Minnesota Vikings / 3rd / 102nd pick / 2023,BlacMe00
23,Andrew Booth,23,CB,17,1,194,Jun-00,Clemson,9/28/00,1,1,Minnesota Vikings / 2nd / 42nd pick / 2022,BootAn00
56,Garrett Bradbury,28,C,14,14,300,3-Jun,North Carolina St.,6/20/95,4,6,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00
64,Blake Brandel,26,T,17,2,315,7-Jun,Oregon St.,1/23/97,2,2,Minnesota Vikings / 6th / 203rd pick / 2020,BranBl00
90,Jonathan Bullard,30,DL,17,14,290,3-Jun,Florida,10/22/93,7,7,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00
24,Camryn Bynum,25,S,17,17,200,Jun-00,California,7/19/98,2,6,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00
55,Andre Carter II,23,OLB,12,0,256,6-Jun,Army,3/28/00,Rook,1,,CartAn01
32,Ty Chandler,25,RB,17,4,204,11-May,TennesseeNorth Carolina,5/12/98,1,4,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01
6,Lewis Cine,24,S,7,0,199,2-Jun,Georgia,10/5/99,1,0,Minnesota Vikings / 1st / 32nd pick / 2022,CineLe00
71,Christian Darrisaw,24,T,15,15,315,5-Jun,Virginia Tech,6/2/99,2,8,Minnesota Vikings / 1st / 23rd pick / 2021,DarrCh00
52,Sheldon Day,29,DL,6,1,294,1-Jun,Notre Dame,7/1/94,7,1,Jacksonville Jaguars / 4th / 103rd pick / 2016,DayxSh00
42,Andrew DePaola,36,LS,17,0,229,1-Jun,Rutgers,7/28/87,9,0,,DePaAn00
15,Joshua Dobbs,28,QB,5,4,216,3-Jun,Tennessee,1/26/95,5,1,Pittsburgh Steelers / 4th / 135th pick / 2017,DobbJo00
21,Akayleb Evans,24,CB,15,15,198,2-Jun,TulsaMissouri,6/22/99,1,5,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00
16,Jaren Hall,25,QB,3,2,207,Jun-00,BYU,3/24/98,Rook,1,Minnesota Vikings / 5th / 164th pick / 2023,HallJa00
30,C.J. Ham,30,FB,17,5,250,11-May,Augustana (SD),7/22/93,6,0,,HamxC.00
58,Jordan Hicks,31,LB,13,13,236,1-Jun,Texas,6/27/92,8,7,Philadelphia Eagles / 3rd / 84th pick / 2015,HickJo00
99,Danielle Hunter,29,OLB,17,17,263,5-Jun,LSU,10/29/94,8,12,Minnesota Vikings / 3rd / 88th pick / 2015,HuntDa01
67,Ed Ingram,24,G,15,15,307,3-Jun,LSU,2/11/99,1,6,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00
81,Lucky Jackson,26,WR,3,0,186,Jun-00,Western Kentucky,7/17/97,Rook,0,,JackLu00
25,Theo Jackson,25,S,15,0,198,1-Jun,Tennessee,10/2/98,1,1,Tennessee Titans / 6th / 204th pick / 2022,JackTh00
18,Justin Jefferson,24,WR,10,9,195,1-Jun,LSU,6/16/99,3,8,Minnesota Vikings / 1st / 22nd pick / 2020,JeffJu00
