,Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
0,1,C,Wilson Ramos\ramoswi01,31,141,524,473,52,136,19,0,14,73,1,0,44,69,0.28800000000000003,0.35100000000000003,0.41600000000000004,0.768,107.0,197,16,4,0,3,5
1,2,1B,Pete Alonso\alonspe01,24,161,693,597,103,155,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,148.0,348,13,21,0,3,6
2,3,2B,Robinson Cano*\canoro01,36,107,423,390,46,100,28,0,13,39,0,0,25,69,0.256,0.307,0.428,0.736,96.0,167,16,5,0,3,3
3,4,SS,Amed Rosario\rosaram01,23,157,655,616,75,177,30,7,15,72,19,10,31,124,0.287,0.32299999999999995,0.43200000000000005,0.755,102.0,266,13,3,2,3,2
4,5,3B,Todd Frazier\frazito01,33,133,499,447,63,112,19,2,21,67,1,2,40,106,0.251,0.32899999999999996,0.44299999999999995,0.772,106.0,198,9,12,0,0,1
5,6,LF,J.D. Davis\davisjd01,26,140,453,410,65,126,22,1,22,57,3,0,38,97,0.307,0.369,0.527,0.895,138.0,216,14,3,0,2,2
6,7,CF,Juan Lagares\lagarju01,30,133,285,258,38,55,12,1,5,27,4,1,22,75,0.213,0.27899999999999997,0.326,0.605,63.0,84,8,2,2,1,4
7,8,RF,Michael Conforto*\confomi01,26,151,648,549,90,141,29,1,33,92,7,2,84,149,0.257,0.363,0.494,0.856,128.0,271,11,10,0,5,5
8,9,UT,Jeff McNeil*\mcneije01,27,133,567,510,83,162,38,1,23,75,5,6,35,75,0.318,0.384,0.531,0.9159999999999999,144.0,271,5,21,0,1,2
9,10,OF,Brandon Nimmo*\nimmobr01,26,69,254,199,34,44,11,1,8,29,3,0,46,71,0.221,0.375,0.40700000000000003,0.7829999999999999,112.0,81,1,5,1,3,2
10,11,LF,Dominic Smith*\smithdo02,24,89,197,177,35,50,10,0,11,25,1,2,19,44,0.282,0.355,0.525,0.8809999999999999,134.0,93,5,1,0,0,0
11,12,2B,Adeiny Hechavarria\hechaad01,30,60,151,142,20,29,7,0,5,18,3,1,8,33,0.204,0.252,0.359,0.611,62.0,51,2,1,0,0,0
12,13,C,Tomas Nido\nidoto01,25,50,144,136,9,26,5,0,4,14,0,0,7,37,0.191,0.231,0.316,0.547,46.0,43,4,0,1,0,2
13,14,2B,Joe Panik*\panikjo01,28,39,103,94,17,26,4,1,2,12,0,0,7,9,0.27699999999999997,0.33299999999999996,0.40399999999999997,0.738,98.0,38,1,1,1,0,0
14,15,OF,Carlos Gomez\gomezca01,33,34,99,86,10,17,3,0,3,10,4,1,7,30,0.198,0.278,0.337,0.616,66.0,29,3,3,2,1,0
15,16,IF,Luis Guillorme*\guilllu01,24,45,70,61,8,15,4,0,1,3,0,0,7,14,0.24600000000000002,0.324,0.361,0.684,85.0,22,2,0,2,0,0
16,17,OF,Keon Broxton\broxtke01,29,34,63,49,5,7,1,0,0,2,4,1,4,22,0.14300000000000002,0.20800000000000002,0.163,0.371,3.0,8,1,0,0,0,0
17,18,OF,Aaron Altherr\altheaa01,28,26,35,31,6,4,1,0,1,2,0,0,2,15,0.129,0.2,0.258,0.45799999999999996,23.0,8,0,1,0,1,0
18,19,OF,Rajai Davis\davisra01,38,29,26,25,4,5,2,0,1,8,0,1,1,5,0.2,0.231,0.4,0.631,65.0,10,0,0,0,0,0
19,20,C,Travis d'Arnaud\darnatr01,30,10,25,23,2,2,0,0,0,2,0,0,2,5,0.087,0.16,0.087,0.247,-30.0,2,1,0,0,0,0
20,21,C,Rene Rivera\riverre01,35,9,20,17,2,4,0,0,1,3,0,0,3,4,0.235,0.35,0.41200000000000003,0.762,105.0,7,0,0,0,0,0
21,22,IF,Ruben Tejada\tejadru01,29,6,9,9,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0
22,23,,Jed Lowrie#\lowrije01,35,9,8,7,0,0,0,0,0,0,0,0,1,4,0.0,0.125,0.0,0.125,-61.0,0,0,0,0,0,0
23,24,UT,Sam Haggerty#\haggesa01,25,11,4,4,2,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0
24,25,P,Jacob deGrom*\degroja01,31,31,70,65,4,13,2,0,2,6,0,0,4,19,0.2,0.24600000000000002,0.32299999999999995,0.569,52.0,21,0,0,1,0,0
25,26,P,Noah Syndergaard*\syndeno01,26,30,69,65,6,6,1,0,2,2,0,0,3,47,0.092,0.132,0.2,0.332,-12.0,13,1,0,1,0,0
26,27,P,Zack Wheeler*\wheelza01,29,28,64,57,5,12,2,0,1,6,0,0,2,19,0.21100000000000002,0.262,0.298,0.561,51.0,17,0,2,3,0,0
27,28,P,Steven Matz\matzst01,28,35,61,57,4,13,0,0,1,1,0,0,0,17,0.228,0.228,0.281,0.509,37.0,16,0,0,4,0,0
28,29,P,Jason Vargas*\vargaja01,36,17,31,28,0,2,0,0,0,0,0,0,0,16,0.071,0.071,0.071,0.14300000000000002,-61.0,2,1,0,3,0,0
29,30,P,Marcus Stroman\stromma01,28,11,23,21,2,1,0,0,0,0,0,0,0,11,0.048,0.048,0.048,0.095,-74.0,1,1,0,2,0,0
30,31,P,Walker Lockett\lockewa01,25,9,7,6,0,1,0,0,0,0,0,0,1,4,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.452,28.0,1,0,0,0,0,0
31,32,P,Drew Gagnon\gagnodr01,29,17,4,3,0,1,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,82.0,1,1,0,1,0,0
32,33,P,Corey Oswalt\oswalco01,25,2,3,1,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,1,0
33,34,P,Chris Mazza\mazzach01,29,8,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0
34,35,P,Chris Flexen\flexech01,24,9,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,173.0,1,0,0,0,0,0
35,36,P,Seth Lugo\lugose01,29,57,1,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,446.0,1,0,0,0,0,0
36,37,P,Paul Sewald\sewalpa01,29,17,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0
37,38,P,Donnie Hart*\hartdo01,28,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0
38,39,P,Robert Gsellman\gsellro01,25,50,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,,0,0,0,0,0,0
39,40,P,Jacob Rhame\rhameja01,26,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,41,P,Tim Peterson\peterti01,28,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,42,P,Jeurys Familia\familje01,29,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,43,P,Luis Avilan*\avilalu01,29,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,44,P,Tyler Bashlor\bashlty01,26,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,45,P,Ryan O'Rourke\orourry01,31,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,46,P,Daniel Zamora*\zamorda01,26,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,47,P,Brooks Pounders\poundbr01,28,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
