,Name,Age,IP,G,GS,R,WAR,RAR,Salary,Acquired
0,John Brebbia\brebbjo01,29.0,66.0,57,0,25,0.9,11,"$569,300 ",Rule 5 Draft
1,Genesis Cabrera*\cabrege01,22.0,14.2,6,2,11,-0.2,-3,-,Traded
2,Junior Fernandez\fernaju01,22.0,6.1,6,0,2,0.1,1,-,Amateur Free Agent
3,Jack Flaherty\flaheja01,23.0,160.1,28,28,58,3.9,39,"$562,100 ",Amateur Draft
4,Giovanny Gallegos\gallegi01,27.0,63.1,55,0,16,1.8,19,-,Traded
5,John Gant\gantjo01,26.0,62.1,56,0,22,1.2,12,"$571,300 ",Traded
6,Luke Gregerson\gregelu01,35.0,5.2,6,0,5,-0.1,-2,"$5,000,000 ",Free Agency
7,Jedd Gyorko\gyorkje01,30.0,0.1,1,0,0,0.0,0,"$13,000,000 ",Traded
8,Ryan Helsley\helslry01,24.0,27.2,15,0,7,0.6,8,-,Amateur Draft
9,Jordan Hicks (60-day IL)\hicksjo03,22.0,28.2,29,0,10,0.6,6,"$555,000 ",Amateur Draft
10,Dakota Hudson\hudsoda02,24.0,153.2,29,28,73,1.6,17,"$559,100 ",Amateur Draft
11,Dominic Leone\leonedo01,27.0,35.2,35,0,26,-0.5,-6,"$1,260,000 ",Traded
12,Carlos Martinez\martica04,27.0,40.0,38,0,15,0.6,6,"$11,700,000 ",Free Agency
13,Mike Mayers\mayermi01,27.0,15.2,13,0,12,-0.3,-3,"$563,700 ",Amateur Draft
14,Adalberto Mejia*\mejiaad01,26.0,3.0,2,0,3,-0.1,-1,-,Waivers
15,Miles Mikolas\mikolmi01,30.0,160.1,28,28,81,1.3,14,"$8,000,000 ",Free Agency
16,Andrew Miller*\millean01,34.0,45.2,62,0,23,0.1,3,"$11,000,000 ",Free Agency
17,Daniel Ponce de Leon\ponceda01,27.0,44.2,11,8,21,0.4,4,-,Amateur Draft
18,Alex Reyes (7-day IL)\reyesal02,24.0,3.0,4,0,5,-0.4,-3,"$564,600 ",Amateur Free Agent
19,Chasen Shreve*\shrevch01,28.0,2.0,3,0,2,-0.1,-1,"$900,000 ",Traded
20,Michael Wacha\wachami01,27.0,112.0,25,20,66,-0.1,0,"$6,350,000 ",Amateur Draft
21,Adam Wainwright\wainwad01,37.0,142.1,26,26,70,1.4,15,"$2,000,000 ",Free Agency
22,Tyler Webb*\webbty01,28.0,46.0,54,0,21,0.3,4,-,Waivers
23,Team Total,27.8,1239.1,589,140,574,13.2,137,"$63,155,100 ",-
