yearID,lgID,franchID,divID,Rank,G,Ghome,W,L
2006,AL,BAL,E,4,162,81,70,92
2006,AL,BOS,E,3,162,81,86,76
2006,AL,CHW,C,3,162,81,90,72
2006,AL,CLE,C,4,162,81,78,84
2006,AL,DET,C,2,162,81,95,67
2006,AL,KCR,C,5,162,81,62,100
2006,AL,ANA,W,2,162,81,89,73
2006,AL,MIN,C,1,162,81,96,66
2006,AL,NYY,E,1,162,81,97,65
2006,AL,OAK,W,1,162,81,93,69
2006,AL,SEA,W,4,162,81,78,84
2006,AL,TBD,E,5,162,81,61,101
2006,AL,TEX,W,3,162,81,80,82
2006,AL,TOR,E,2,162,81,87,75
2007,AL,BAL,E,4,162,81,69,93
2007,AL,BOS,E,1,162,81,96,66
2007,AL,CHW,C,4,162,81,72,90
2007,AL,CLE,C,1,162,80,96,66
2007,AL,DET,C,2,162,81,88,74
2007,AL,KCR,C,5,162,81,69,93
2007,AL,ANA,W,1,162,81,94,68
2007,AL,MIN,C,3,162,81,79,83
2007,AL,NYY,E,2,162,81,94,68
2007,AL,OAK,W,3,162,81,76,86
2007,AL,SEA,W,2,162,82,88,74
2007,AL,TBD,E,5,162,81,66,96
2007,AL,TEX,W,4,162,81,75,87
2007,AL,TOR,E,3,162,81,83,79
2008,AL,BAL,E,5,161,81,68,93
2008,AL,BOS,E,2,162,81,95,67
2008,AL,CHW,C,1,163,82,89,74
2008,AL,CLE,C,3,162,81,81,81
2008,AL,DET,C,5,162,81,74,88
2008,AL,KCR,C,4,162,81,75,87
2008,AL,ANA,W,1,162,81,100,62
2008,AL,MIN,C,2,163,81,88,75
2008,AL,NYY,E,3,162,81,89,73
2008,AL,OAK,W,3,161,81,75,86
2008,AL,SEA,W,4,162,81,61,101
2008,AL,TBD,E,1,162,81,97,65
2008,AL,TEX,W,2,162,81,79,83
2008,AL,TOR,E,4,162,81,86,76
2009,AL,BAL,E,5,162,81,64,98
2009,AL,BOS,E,2,162,81,95,67
2009,AL,CHW,C,3,162,81,79,83
2009,AL,CLE,C,4,162,81,65,97
2009,AL,DET,C,2,163,81,86,77
2009,AL,KCR,C,4,162,81,65,97
2009,AL,ANA,W,1,162,81,97,65
2009,AL,MIN,C,1,163,82,87,76
2009,AL,NYY,E,1,162,81,103,59
2009,AL,OAK,W,4,162,81,75,87
2009,AL,SEA,W,3,162,81,85,77
2009,AL,TBD,E,3,162,81,84,78
2009,AL,TEX,W,2,162,81,87,75
2009,AL,TOR,E,4,162,81,75,87
2010,AL,BAL,E,5,162,81,66,96
2010,AL,BOS,E,3,162,81,89,73
2010,AL,CHW,C,2,162,81,88,74
2010,AL,CLE,C,4,162,81,69,93
2010,AL,DET,C,3,162,81,81,81
2010,AL,KCR,C,5,162,81,67,95
2010,AL,ANA,W,3,162,81,80,82
2010,AL,MIN,C,1,162,81,94,68
2010,AL,NYY,E,2,162,81,95,67
2010,AL,OAK,W,2,162,81,81,81
2010,AL,SEA,W,4,162,81,61,101
2010,AL,TBD,E,1,162,81,96,66
2010,AL,TEX,W,1,162,81,90,72
2010,AL,TOR,E,4,162,78,85,77
2011,AL,BAL,E,5,162,81,69,93
2011,AL,BOS,E,3,162,81,90,72
2011,AL,CHW,C,3,162,81,79,83
2011,AL,CLE,C,2,162,81,80,82
2011,AL,DET,C,1,162,81,95,67
2011,AL,KCR,C,4,162,81,71,91
2011,AL,ANA,W,2,162,81,86,76
2011,AL,MIN,C,5,162,81,63,99
2011,AL,NYY,E,1,162,81,97,65
2011,AL,OAK,W,3,162,81,74,88
2011,AL,SEA,W,4,162,84,67,95
2011,AL,TBD,E,2,162,81,91,71
2011,AL,TEX,W,1,162,81,96,66
2011,AL,TOR,E,4,162,81,81,81
2012,AL,BAL,E,2,162,81,93,69
2012,AL,BOS,E,5,162,81,69,93
2012,AL,CHW,C,2,162,81,85,77
2012,AL,CLE,C,4,162,81,68,94
2012,AL,DET,C,1,162,81,88,74
2012,AL,KCR,C,3,162,81,72,90
2012,AL,ANA,W,3,162,81,89,73
2012,AL,MIN,C,5,162,81,66,96
